DATE,FIELD,FORMATION,WELL_NAME,OIL,WATER,GAS
7/31/1987,EULER,Athena,EUAT-1,2552.684578,0,494349.6612
8/31/1987,EULER,Athena,EUAT-1,2553.499502,0,494499.6193
9/30/1987,EULER,Athena,EUAT-1,2476.746157,0,479594.7599
10/31/1987,EULER,Athena,EUAT-1,2528.396267,0,996185.5019
11/30/1987,EULER,Athena,EUAT-1,2471.896561,0,973924.6763
12/31/1987,EULER,Athena,EUAT-1,2526.294515,0,995357.4142
1/31/1988,EULER,Athena,EUAT-1,2556.063052,0,1007086.186
2/29/1988,EULER,Athena,EUAT-1,2504.383394,0,986724.4546
3/31/1988,EULER,Athena,EUAT-1,2403.902873,0,947135.2338
4/30/1988,EULER,Athena,EUAT-1,2557.30781,0,1007576.62
5/31/1988,EULER,Athena,EUAT-1,2557.745466,0,1007749.056
6/30/1988,EULER,Athena,EUAT-1,2458.583459,0,968679.328
7/31/1988,EULER,Athena,EUAT-1,3559.673015,0,1402507.469
8/31/1988,EULER,Athena,EUAT-1,2537.58273,0,1096232.848
9/30/1988,EULER,Athena,EUAT-1,3682.345656,0,1590769.128
10/31/1988,EULER,Athena,EUAT-1,3748.351112,0,1619283.41
11/30/1988,EULER,Athena,EUAT-1,2691.14671,0,1162572.313
12/31/1988,EULER,Athena,EUAT-1,2648.497078,0,1144147.72
1/31/1989,EULER,Athena,EUAT-1,2442.792902,0,1055283.75
2/28/1989,EULER,Athena,EUAT-1,2564.036061,0,1374319.704
3/31/1989,EULER,Athena,EUAT-1,2832.253984,0,1518084.132
4/30/1989,EULER,Athena,EUAT-1,4042.57249,0,2166813.14
5/31/1989,EULER,Athena,EUAT-1,2803.715073,0,1502787.315
6/30/1989,EULER,Athena,EUAT-1,3869.774297,0,2074193.553
7/31/1989,EULER,Athena,EUAT-1,3781.1686,0,2026701.024
8/31/1989,EULER,Athena,EUAT-1,0,0,0
9/30/1989,EULER,Athena,EUAT-1,2617.698779,0,1403082.845
10/31/1989,EULER,Athena,EUAT-1,3485.870838,0,3283681.67
11/30/1989,EULER,Athena,EUAT-1,3565.936181,0,3359103.023
12/31/1989,EULER,Athena,EUAT-1,3624.688531,0,3414447.591
1/31/1990,EULER,Athena,EUAT-1,3648.003476,0,3436410.211
2/28/1990,EULER,Athena,EUAT-1,3830.559477,0,3608377.511
3/31/1990,EULER,Athena,EUAT-1,3031.373745,0,2522096.304
4/30/1990,EULER,Athena,EUAT-1,2551.756963,0,2199608.702
5/31/1990,EULER,Athena,EUAT-1,3367.333248,0,2902633.604
6/30/1990,EULER,Athena,EUAT-1,2390.459279,0,2060570.464
7/31/1990,EULER,Athena,EUAT-1,2643.969824,173.0270376,2279095.978
8/31/1990,EULER,Athena,EUAT-1,0,0,0
9/30/1990,EULER,Athena,EUAT-1,0,0,0
10/31/1990,EULER,Athena,EUAT-1,0,0,0
11/30/1990,EULER,Athena,EUAT-1,0,0,0
12/31/1990,EULER,Athena,EUAT-1,0,0,0
1/31/1991,EULER,Athena,EUAT-1,0,0,0
2/28/1991,EULER,Athena,EUAT-1,1318.121797,514.439365,1048505.967
3/31/1991,EULER,Athena,EUAT-1,6151.235041,2400.717128,4893027.899
4/30/1991,EULER,Athena,EUAT-1,6151.235053,2400.717117,4893027.887
5/31/1991,EULER,Athena,EUAT-1,6151.235041,2400.717128,4893027.899
6/30/1991,EULER,Athena,EUAT-1,6151.235053,2400.717117,4893027.887
7/31/1991,EULER,Athena,EUAT-1,6151.235041,2400.717128,4893027.899
8/31/1991,EULER,Athena,EUAT-1,6151.235041,2400.717128,4893027.899
9/30/1991,EULER,Athena,EUAT-1,6151.235053,2400.717117,4893027.887
10/31/1991,EULER,Athena,EUAT-1,6151.235041,2400.717128,4893027.899
11/30/1991,EULER,Athena,EUAT-1,0,0,0
12/31/1991,EULER,Athena,EUAT-1,0,0,0
1/31/1992,EULER,Athena,EUAT-1,0,0,0
2/29/1992,EULER,Athena,EUAT-1,0,0,0
3/31/1992,EULER,Athena,EUAT-1,0,0,0
4/30/1992,EULER,Athena,EUAT-1,0,0,0
5/31/1992,EULER,Athena,EUAT-1,0,0,0
6/30/1992,EULER,Athena,EUAT-1,0,0,0
7/31/1992,EULER,Athena,EUAT-1,0,0,0
8/31/1992,EULER,Athena,EUAT-1,0,0,0
9/30/1992,EULER,Athena,EUAT-1,353.2644667,176.6317674,304513.1671
10/31/1992,EULER,Athena,EUAT-1,367.3797977,183.6894144,316680.5504
11/30/1992,EULER,Athena,EUAT-1,0,0,0
12/31/1992,EULER,Athena,EUAT-1,0,0,0
1/31/1993,EULER,Athena,EUAT-1,672.5805356,70.89528198,579762.8927
2/28/1993,EULER,Athena,EUAT-1,711.1128522,58.29345638,612977.662
3/31/1993,EULER,Athena,EUAT-1,701.1582432,57.49552738,604396.8116
4/30/1993,EULER,Athena,EUAT-1,507.0141417,41.55573128,437045.0374
5/31/1993,EULER,Athena,EUAT-1,213.7339372,17.53769823,184238.1679
6/30/1993,EULER,Athena,EUAT-1,221.4624645,99.62927575,190900.1409
7/31/1993,EULER,Athena,EUAT-1,204.1840931,91.86083161,176006.2241
8/31/1993,EULER,Athena,EUAT-1,1173.98377,0,704388.4042
9/30/1993,EULER,Athena,EUAT-1,1183.450432,0,710068.3865
10/31/1993,EULER,Athena,EUAT-1,1190.730825,0,714436.6109
11/30/1993,EULER,Athena,EUAT-1,1107.036594,0,664220.2048
12/31/1993,EULER,Athena,EUAT-1,1106.508815,0,663903.5382
1/31/1994,EULER,Athena,EUAT-1,1090.471657,0,654281.2689
2/28/1994,EULER,Athena,EUAT-1,1096.783328,0,658068.2611
3/31/1994,EULER,Athena,EUAT-1,1104.54956,0,662727.988
4/30/1994,EULER,Athena,EUAT-1,1084.240391,0,650542.5188
5/31/1994,EULER,Athena,EUAT-1,1162.106743,0,697262.2068
6/30/1994,EULER,Athena,EUAT-1,1108.812502,0,665285.7469
7/31/1994,EULER,Athena,EUAT-1,1188.645467,0,713185.3992
8/31/1994,EULER,Athena,EUAT-1,1136.451415,0,681869.0504
9/30/1994,EULER,Athena,EUAT-1,1157.569255,0,694539.7212
10/31/1994,EULER,Athena,EUAT-1,1203.190826,0,721912.5918
11/30/1994,EULER,Athena,EUAT-1,1216.698925,0,730017.4301
12/31/1994,EULER,Athena,EUAT-1,1204.050137,0,722428.1768
1/31/1995,EULER,Athena,EUAT-1,1166.201419,0,699719.0058
2/28/1995,EULER,Athena,EUAT-1,1166.045181,0,699625.2631
3/31/1995,EULER,Athena,EUAT-1,1153.331292,0,691996.9503
